CRR,CRR_nup1,CRR_nup2,CRR_nup3,CRR_n1,CRR_n2,CRR_n3,SOV,CORP,BANK
,,,0.1,,,,0.008%,0.030%,0.030%
,,0.1,1.1,,,,0.008%,0.030%,0.030%
,0.1,1.1,1.2,,,,0.008%,0.030%,0.030%
0.1,1.1,1.2,2.1,,,,0.008%,0.030%,0.030%
1.1,1.2,2.1,2.2,0.1,,,0.020%,0.030%,0.030%
1.2,2.1,2.2,3.1,1.1,0.1,,0.040%,0.040%,0.040%
2.1,2.2,3.1,3.2,1.2,1.1,0.1,0.070%,0.070%,0.070%
2.2,3.1,3.2,3.3,2.1,1.2,1.1,0.130%,0.130%,0.130%
3.1,3.2,3.3,4.1,2.2,2.1,1.2,0.220%,0.220%,0.220%
3.2,3.3,4.1,4.2,3.1,2.2,2.1,0.370%,0.370%,0.370%
3.3,4.1,4.2,4.3,3.2,3.1,2.2,0.630%,0.630%,0.630%
4.1,4.2,4.3,5.1,3.3,3.2,3.1,0.870%,0.870%,0.870%
4.2,4.3,5.1,5.2,4.1,3.3,3.2,1.200%,1.200%,1.200%
4.3,5.1,5.2,5.3,4.2,4.1,3.3,1.650%,1.650%,1.650%
5.1,5.2,5.3,6.1,4.3,4.2,4.1,2.250%,2.250%,2.250%
5.2,5.3,6.1,6.2,5.1,4.3,4.2,3.050%,3.050%,3.050%
5.3,6.1,6.2,7.1,5.2,5.1,4.3,4.200%,4.200%,4.200%
6.1,6.2,7.1,7.2,5.3,5.2,5.1,5.750%,5.750%,5.750%
6.2,7.1,7.2,8.1,6.1,5.3,5.2,7.850%,7.850%,7.850%
7.1,7.2,8.1,8.2,6.2,6.1,5.3,10.000%,10.000%,10.000%
7.2,8.1,8.2,8.3,7.1,6.2,6.1,13.000%,13.000%,13.000%
8.1,8.2,8.3,,7.2,7.1,6.2,19.000%,19.000%,19.000%
8.2,8.3,,,8.1,7.2,7.1,36.000%,36.000%,36.000%
8.3,,,,8.2,8.1,7.2,75.000%,75.000%,75.000%
,,,,8.3,8.2,8.1,75.000%,75.000%,75.000%
,,,,,8.3,8.2,75.000%,75.000%,75.000%
,,,,,,8.3,75.000%,75.000%,75.000%
